portfolio_id,run_group,scenario_level,budget_usd,equity_floor,selection_hash,portfolio_equivalence_group,equivalent_portfolio_count,is_canonical_portfolio,is_default_dashboard_portfolio,uncertainty_scenario,budget,solver_status,solver_message,objective_name,selected_project_count,selected_corridor_count,selected_capital_cost,budget_slack,budget_utilization_pct,equity_spending,achieved_equity_share,total_present_value_benefit,total_net_present_benefit,portfolio_bcr,maximum_individual_bcr,road_diet_project_count,road_diet_project_share,road_diet_spending_share,physical_applicability_unknown_count,portfolio_hash,budget_constraint_status,equity_constraint_status,limiting_constraint,required_governance_labels
PORT_OFF_CONSERVATIVE_B15M_EQ20,OFFICIAL,CONSERVATIVE,15000000.0,0.2,d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,OFFICIAL_CONSERVATIVE_d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,3,True,False,CONSERVATIVE,15000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,14998416.0,1584.0,99.98944,6662952.0,0.44424371213600156,2600662101.3660994,2585663685.3660994,173.39578401919906,305.284682,40,0.9302325581395349,0.9891988593995525,43,d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_CONSERVATIVE_B15M_EQ30,OFFICIAL,CONSERVATIVE,15000000.0,0.3,d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,OFFICIAL_CONSERVATIVE_d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,3,False,False,CONSERVATIVE,15000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,14998416.0,1584.0,99.98944,6662952.0,0.44424371213600156,2600662101.3660994,2585663685.3660994,173.39578401919906,305.284682,40,0.9302325581395349,0.9891988593995525,43,d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_CONSERVATIVE_B15M_EQ40,OFFICIAL,CONSERVATIVE,15000000.0,0.4,d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,OFFICIAL_CONSERVATIVE_d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,3,False,False,CONSERVATIVE,15000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,14998416.0,1584.0,99.98944,6662952.0,0.44424371213600156,2600662101.3660994,2585663685.3660994,173.39578401919906,305.284682,40,0.9302325581395349,0.9891988593995525,43,d4739486237a35e052f256745811f6868696162c0ea8e4b646c44155f2da32b5,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_CONSERVATIVE_B25M_EQ20,OFFICIAL,CONSERVATIVE,25000000.0,0.2,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,OFFICIAL_CONSERVATIVE_b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,6,False,False,CONSERVATIVE,25000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,15927024.0,9072976.0,63.708096000000005,6898392.0,0.4331249830476805,2683803888.2054996,2667876864.2054996,168.50630024827612,305.284682,42,0.9767441860465116,0.9966095360941253,43,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_CONSERVATIVE_B25M_EQ30,OFFICIAL,CONSERVATIVE,25000000.0,0.3,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,OFFICIAL_CONSERVATIVE_b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,6,False,False,CONSERVATIVE,25000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,15927024.0,9072976.0,63.708096000000005,6898392.0,0.4331249830476805,2683803888.2054996,2667876864.2054996,168.50630024827612,305.284682,42,0.9767441860465116,0.9966095360941253,43,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_CONSERVATIVE_B25M_EQ40,OFFICIAL,CONSERVATIVE,25000000.0,0.4,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,OFFICIAL_CONSERVATIVE_b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,6,False,False,CONSERVATIVE,25000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,15927024.0,9072976.0,63.708096000000005,6898392.0,0.4331249830476805,2683803888.2054996,2667876864.2054996,168.50630024827612,305.284682,42,0.9767441860465116,0.9966095360941253,43,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_CONSERVATIVE_B40M_EQ20,OFFICIAL,CONSERVATIVE,40000000.0,0.2,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,OFFICIAL_CONSERVATIVE_b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,6,False,False,CONSERVATIVE,40000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,15927024.0,24072976.0,39.81756,6898392.0,0.4331249830476805,2683803888.2054996,2667876864.2054996,168.50630024827612,305.284682,42,0.9767441860465116,0.9966095360941253,43,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_CONSERVATIVE_B40M_EQ30,OFFICIAL,CONSERVATIVE,40000000.0,0.3,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,OFFICIAL_CONSERVATIVE_b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,6,False,False,CONSERVATIVE,40000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,15927024.0,24072976.0,39.81756,6898392.0,0.4331249830476805,2683803888.2054996,2667876864.2054996,168.50630024827612,305.284682,42,0.9767441860465116,0.9966095360941253,43,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_CONSERVATIVE_B40M_EQ40,OFFICIAL,CONSERVATIVE,40000000.0,0.4,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,OFFICIAL_CONSERVATIVE_b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,6,False,False,CONSERVATIVE,40000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,43,43,15927024.0,24072976.0,39.81756,6898392.0,0.4331249830476805,2683803888.2054996,2667876864.2054996,168.50630024827612,305.284682,42,0.9767441860465116,0.9966095360941253,43,b5b9ee069be3eb2712d0c56c15a8759c984feb56cbc1e7033b4d9f8446311d66,NONBINDING_CORRIDOR_CEILING,SLACK,NONE (NONBINDING_CORRIDOR_CEILING),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_BASE_B15M_EQ20,OFFICIAL,BASE,15000000.0,0.2,855ec72b33750080e931adfebdc0da8f6bee7d0327dfd5ae2c9b81485e439f2e,OFFICIAL_BASE_855ec72b33750080e931adfebdc0da8f6bee7d0327dfd5ae2c9b81485e439f2e,3,True,True,BASE,15000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,42,42,14985060.0,14940.0,99.9004,7594800.0,0.5068247974983083,4147112815.2389,4132127755.2389,276.74983051378507,444.440551,33,0.7857142857142857,0.9569571293007836,42,855ec72b33750080e931adfebdc0da8f6bee7d0327dfd5ae2c9b81485e439f2e,EFFECTIVELY_BINDING_NO_ADDITIONAL_CORRIDOR,SLACK,BUDGET (EFFECTIVELY_BINDING_NO_ADDITIONAL_CORRIDOR),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
PORT_OFF_BASE_B15M_EQ30,OFFICIAL,BASE,15000000.0,0.3,855ec72b33750080e931adfebdc0da8f6bee7d0327dfd5ae2c9b81485e439f2e,OFFICIAL_BASE_855ec72b33750080e931adfebdc0da8f6bee7d0327dfd5ae2c9b81485e439f2e,3,False,False,BASE,15000000.0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),total_present_value_benefit,42,42,14985060.0,14940.0,99.9004,7594800.0,0.5068247974983083,4147112815.2389,4132127755.2389,276.74983051378507,444.440551,33,0.7857142857142857,0.9569571293007836,42,855ec72b33750080e931adfebdc0da8f6bee7d0327dfd5ae2c9b81485e439f2e,EFFECTIVELY_BINDING_NO_ADDITIONAL_CORRIDOR,SLACK,BUDGET (EFFECTIVELY_BINDING_NO_ADDITIONAL_CORRIDOR),OFFICIAL_BUDGET_SCENARIO; PROVISIONAL_PORTFOLIO_SCENARIO; ENGINEERING_REVIEW_REQUIRED
