corridor_id,corridor_name,treatment_id,treatment_name,uncertainty_scenario,demand_risk_rank,demand_risk_percentile,physical_applicability_status,relevant_forecast_crashes,cmf_id,cmf,cmf_standard_error,crashes_averted_total,crashes_averted_k,crashes_averted_a,crashes_averted_b,crashes_averted_c,crashes_averted_o,annual_monetary_benefit,useful_life_years,real_discount_rate,present_value_factor,present_value_benefit,capital_project_cost,net_present_benefit,benefit_cost_ratio,equity_area_flag,required_governance_labels
HCC001,Devon,TRT_001,Pedestrian Refuge Islands & Medians,BASE,12,0.744186,UNKNOWN,18.450324,175,0.68,0.035,2.952052,0.045528,0.425808,1.817023,0.304464,0.359229,2220483.8158,20,0.03,14.877475,33035192.1469,45000.0,32990192.1469,734.115381,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC001,Devon,TRT_001,Pedestrian Refuge Islands & Medians,CONSERVATIVE,12,0.744186,UNKNOWN,18.450324,175,0.7486,0.035,1.159603,0.017884,0.167263,0.713749,0.119597,0.14111,872233.7989,20,0.03,14.877475,12976636.4152,36000.0,12940636.4152,360.462123,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC001,Devon,TRT_001,Pedestrian Refuge Islands & Medians,OPTIMISTIC,12,0.744186,UNKNOWN,18.450324,175,0.6114,0.035,5.377347,0.082933,0.775635,3.30982,0.5546,0.654359,4044750.0506,20,0.03,14.877475,60175667.1951,60000.0,60115667.1951,1002.927787,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC001,Devon,TRT_002,Road Diet (4-to-3 Lane Conversion),BASE,12,0.744186,UNKNOWN,423.1587,3006,0.71,0.026,92.037017,0.100697,1.491404,7.046925,2.420125,80.976418,8819790.8715,20,0.03,14.877475,131216216.9645,448830.0,130767386.9645,292.351708,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC001,Devon,TRT_002,Road Diet (4-to-3 Lane Conversion),CONSERVATIVE,12,0.744186,UNKNOWN,423.1587,3006,0.76096,0.026,50.575928,0.055335,0.819552,3.872407,1.3299,44.497938,4846627.1492,20,0.03,14.877475,72105573.5706,359064.0,71746509.5706,200.81538,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC001,Devon,TRT_002,Road Diet (4-to-3 Lane Conversion),OPTIMISTIC,12,0.744186,UNKNOWN,423.1587,3006,0.65904,0.026,144.28019,0.157856,2.337973,11.046987,3.793866,126.94124,13826188.0254,20,0.03,14.877475,205698764.7642,478752.0,205220012.7642,429.656199,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC001,Devon,TRT_004,RRFB at Uncontrolled Marked Pedestrian Crossing,BASE,12,0.744186,UNKNOWN,18.450324,9024,0.53,0.031,3.468661,0.053496,0.500324,2.135002,0.357745,0.422094,2609068.4835,10,0.03,8.530203,22255883.3794,67500.0,22188383.3794,329.716791,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC001,Devon,TRT_004,RRFB at Uncontrolled Marked Pedestrian Crossing,CONSERVATIVE,12,0.744186,UNKNOWN,18.450324,9024,0.59076,0.031,1.510122,0.02329,0.217822,0.929498,0.155748,0.183764,1135888.4959,10,0.03,8.530203,9689359.2704,54000.0,9635359.2704,179.432579,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC001,Devon,TRT_004,RRFB at Uncontrolled Marked Pedestrian Crossing,OPTIMISTIC,12,0.744186,UNKNOWN,18.450324,9024,0.46924,0.031,5.875616,0.090617,0.847506,3.616511,0.60599,0.714992,4419539.9627,10,0.03,8.530203,37699572.3269,108000.0,37591572.3269,349.070114,True,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC002,Broadway,TRT_001,Pedestrian Refuge Islands & Medians,BASE,19,0.581395,UNKNOWN,10.71273,175,0.68,0.035,1.714037,0.01681,0.160504,1.018905,0.28105,0.236767,995477.4688,20,0.03,14.877475,14810191.0164,60000.0,14750191.0164,246.836517,False,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
HCC002,Broadway,TRT_001,Pedestrian Refuge Islands & Medians,CONSERVATIVE,19,0.581395,UNKNOWN,10.71273,175,0.7486,0.035,0.673295,0.006603,0.063048,0.400239,0.1104,0.093005,391035.9932,20,0.03,14.877475,5817628.1586,36000.0,5781628.1586,161.600782,False,PROVISIONAL_SCENARIO; ENGINEERING_REVIEW_REQUIRED; ANALYST_DEFINED_COST_SCENARIO; ANALYST_DEFINED_ECONOMIC_SCENARIO
