crash_year,crash_month,crash_count,period
2017,1,4363,2017-01-01
2017,2,4109,2017-02-01
2017,3,5105,2017-03-01
2017,4,5024,2017-04-01
2017,5,5847,2017-05-01
2017,6,6212,2017-06-01
2017,7,6758,2017-07-01
2017,8,7685,2017-08-01
2017,9,9038,2017-09-01
2017,10,10022,2017-10-01
2017,11,9515,2017-11-01
2017,12,10108,2017-12-01
2018,1,9533,2018-01-01
2018,2,8730,2018-02-01
2018,3,9319,2018-03-01
2018,4,9648,2018-04-01
2018,5,10714,2018-05-01
2018,6,10602,2018-06-01
2018,7,10367,2018-07-01
2018,8,10212,2018-08-01
2018,9,9931,2018-09-01
2018,10,10402,2018-10-01
2018,11,9474,2018-11-01
2018,12,10021,2018-12-01
2019,1,9116,2019-01-01
2019,2,8625,2019-02-01
2019,3,9748,2019-03-01
2019,4,9446,2019-04-01
2019,5,10709,2019-05-01
2019,6,10706,2019-06-01
2019,7,10662,2019-07-01
2019,8,9941,2019-08-01
2019,9,9815,2019-09-01
2019,10,9938,2019-10-01
2019,11,9640,2019-11-01
2019,12,9418,2019-12-01
2020,1,8685,2020-01-01
2020,2,9019,2020-02-01
2020,3,6672,2020-03-01
2020,4,4431,2020-04-01
2020,5,6548,2020-05-01
2020,6,7680,2020-06-01
2020,7,9042,2020-07-01
2020,8,9161,2020-08-01
2020,9,8286,2020-09-01
2020,10,8354,2020-10-01
2020,11,6964,2020-11-01
2020,12,7254,2020-12-01
2021,1,7072,2021-01-01
2021,2,8399,2021-02-01
2021,3,7679,2021-03-01
2021,4,8169,2021-04-01
2021,5,9651,2021-05-01
2021,6,10335,2021-06-01
2021,7,10015,2021-07-01
2021,8,9989,2021-08-01
2021,9,9897,2021-09-01
2021,10,10275,2021-10-01
2021,11,8774,2021-11-01
2021,12,8512,2021-12-01
2022,1,8195,2022-01-01
2022,2,7963,2022-02-01
2022,3,8552,2022-03-01
2022,4,8533,2022-04-01
2022,5,9825,2022-05-01
2022,6,9602,2022-06-01
2022,7,9263,2022-07-01
2022,8,9233,2022-08-01
2022,9,9602,2022-09-01
2022,10,9910,2022-10-01
2022,11,8795,2022-11-01
2022,12,8939,2022-12-01
2023,1,8105,2023-01-01
2023,2,8099,2023-02-01
2023,3,8895,2023-03-01
2023,4,9012,2023-04-01
2023,5,10142,2023-05-01
2023,6,9590,2023-06-01
2023,7,9528,2023-07-01
2023,8,9777,2023-08-01
2023,9,9616,2023-09-01
2023,10,10098,2023-10-01
2023,11,8779,2023-11-01
2023,12,9113,2023-12-01
2024,1,8234,2024-01-01
2024,2,7800,2024-02-01
2024,3,8927,2024-03-01
2024,4,9254,2024-04-01
2024,5,10742,2024-05-01
2024,6,10136,2024-06-01
2024,7,9606,2024-07-01
2024,8,9924,2024-08-01
2024,9,9816,2024-09-01
2024,10,9891,2024-10-01
2024,11,8937,2024-11-01
2024,12,8788,2024-12-01
2025,1,8221,2025-01-01
2025,2,7764,2025-02-01
2025,3,8739,2025-03-01
2025,4,8919,2025-04-01
2025,5,10104,2025-05-01
2025,6,10102,2025-06-01
2025,7,9828,2025-07-01
2025,8,10193,2025-08-01
2025,9,9043,2025-09-01
2025,10,9054,2025-10-01
2025,11,8524,2025-11-01
2025,12,8627,2025-12-01
2026,1,9464,2026-01-01
2026,2,7823,2026-02-01
2026,3,8682,2026-03-01
2026,4,8969,2026-04-01
2026,5,9999,2026-05-01
2026,6,9815,2026-06-01
2026,7,9704,2026-07-01
2026,8,423,2026-08-01
