issue_id,run_id,detected_at_utc,pipeline_stage,dataset,issue_code,severity,status,affected_rows,description,evidence_file,governance_reference,resolution,closed_at_utc
DQ-20260809T121229Z-001,20260809T121229Z,2026-08-09T12:12:48+00:00,crash_cleaning,crashes_clean,blank_severity,WARNING,open,1994,Blank severity was mapped to U.,docs\data_quality\cleaning_runs\crash_cleaning_20260809T121229Z.json,severity contract,,
DQ-20260809T121229Z-002,20260809T121229Z,2026-08-09T12:12:48+00:00,crash_cleaning,crashes_clean,invalid_coordinate,WARNING,open,7150,Coordinate is unavailable or invalid for corridor assignment.,docs\data_quality\cleaning_runs\crash_cleaning_20260809T121229Z.json,A009,,
DQ-20260809T121229Z-003,20260809T121229Z,2026-08-09T12:12:48+00:00,crash_cleaning,crashes_clean,numeric_range_warning:posted_speed_limit_outside_range,WARNING,open,4272,Configured quality warning for posted_speed_limit_outside_range.,docs\data_quality\cleaning_runs\crash_cleaning_20260809T121229Z.json,,,
DQ-20260809T121229Z-004,20260809T121229Z,2026-08-09T12:12:48+00:00,crash_cleaning,crashes_clean,numeric_range_warning:lane_cnt_outside_range,WARNING,open,3064,Configured quality warning for lane_cnt_outside_range.,docs\data_quality\cleaning_runs\crash_cleaning_20260809T121229Z.json,,,
20260809T162130Z_DEEP_001,20260809T162130Z,2026-08-09T16:21:30.191790+00:00,deep_validation,crashes_clean,blank_or_unknown_severity,WARNING,open,1994,,,severity contract,,
20260809T162130Z_DEEP_002,20260809T162130Z,2026-08-09T16:21:30.191790+00:00,deep_validation,crashes_clean,invalid_coordinate,WARNING,open,7150,,,A009,,
20260809T162130Z_DEEP_003,20260809T162130Z,2026-08-09T16:21:30.191790+00:00,deep_validation,crashes_clean,numeric_range_warning:posted_speed_limit_outside_range,WARNING,open,4272,,,D011,,
20260809T162130Z_DEEP_004,20260809T162130Z,2026-08-09T16:21:30.191790+00:00,deep_validation,crashes_clean,numeric_range_warning:lane_cnt_outside_range,WARNING,open,3064,,,D011,,
DQ-20260809T182745Z-SPATIAL-001,20260809T182745Z,2026-08-09T18:27:45+00:00,spatial_acquisition,street_center_lines,invalid_street_centerline_geometry,WARNING,open,2,Object IDs 69442 and 69766 contain empty MultiLineString coordinates.,docs/data_quality/spatial_acquisition_manifests/spatial_acquisition_20260809T182745Z_manifest.json,D014,Preserve in raw evidence and exclude from corridor construction.,
DQ-20260810T120855Z-GEOM-001,20260810T120855Z,2026-08-10T12:08:55.551714+00:00,corridor_geometry_validation,high_crash_corridors,multipart_corridor_geometry,WARNING,open,1,Approved multipart geometry detected for corridor(s): ['HCC019'].,docs\data_quality\corridor_geometry_runs\corridor_geometry_validation_20260810T120855Z.json,D016,Preserved two-carriageway MultiLineString geometry as approved Policy B.,
DQ-20260810T120855Z-GEOM-002,20260810T120855Z,2026-08-10T12:08:55.551714+00:00,corridor_geometry_validation,high_crash_corridors,boundary_resolved_by_proximity,WARNING,open,1,Approved boundary proximity tolerance applied for corridor(s): ['HCC019'].,docs\data_quality\corridor_geometry_runs\corridor_geometry_validation_20260810T120855Z.json,D016,Resolved Division boundary for HCC019 within 200-foot approved proximity limit.,
DQ-20260810T120855Z-GEOM-003,20260810T120855Z,2026-08-10T12:08:55.551714+00:00,corridor_geometry_validation,high_crash_corridors,approved_source_continuation,WARNING,open,1,Approved source-name continuation applied for corridor(s): ['HCC038'].,docs\data_quality\corridor_geometry_runs\corridor_geometry_validation_20260810T120855Z.json,D016,Routed across Fairbanks and Columbus source centerlines as approved Policy C.,
DQ-20260810T120855Z-GEOM-004,20260810T120855Z,2026-08-10T12:08:55.551714+00:00,corridor_geometry_validation,high_crash_corridors,approved_multilevel_source_family,WARNING,open,1,Approved multilevel source family applied for corridor(s): ['HCC039'].,docs\data_quality\corridor_geometry_runs\corridor_geometry_validation_20260810T120855Z.json,D016,Routed across Wacker upper/lower/ramp/sub source family as approved Policy D.,
